0 - moving, 1 - wallBounce, 2 - playerHit, 3 - enemyHit, 4 - playerFail, 5 - enemyFail
time, controltype, error, buttonState, angle, control, target, playerPosY, enemyPosY, events, playerScore, enemyScore
01-11-2024 14:22:14, NONE, 0, 1, -0.197753906, 0, 999, 4.4, 3.158737, 0.00, 0.00, 0.00
01-11-2024 14:22:14, NONE, 0, 1, -0.197753906, 0, 999, 4.4, 3.158737, 0.00, 0.00, 0.00
01-11-2024 14:22:14, NONE, 0, 1, -0.197753906, 0, 999, 4.4, 3.158737, 0.00, 0.00, 0.00
01-11-2024 14:22:14, NONE, 0, 1, -0.197753906, 0, 999, 4.4, 3.158737, 0.00, 0.00, 0.00
01-11-2024 14:22:14, NONE, 0, 1, -0.197753906, 0, 999, 4.4, 3.158737, 0.00, 0.00, 0.00
01-11-2024 14:22:14, NONE, 0, 1, -0.197753906, 0, 999, 4.4, 3.158737, 0.00, 0.00, 0.00
01-11-2024 14:22:14, NONE, 0, 1, -0.197753906, 0, 999, 4.4, 3.158737, 0.00, 0.00, 0.00
01-11-2024 14:22:14, NONE, 0, 1, -0.197753906, 0, 999, 4.4, 3.158737, 0.00, 0.00, 0.00
01-11-2024 14:22:14, NONE, 0, 1, -0.197753906, 0, 999, 4.4, 3.180509, 0.00, 0.00, 0.00
01-11-2024 14:22:14, NONE, 0, 1, -0.197753906, 0, 999, 4.4, 3.180509, 0.00, 0.00, 0.00
01-11-2024 14:22:14, NONE, 0, 1, -0.197753906, 0, 999, 4.4, 3.204298, 0.00, 0.00, 0.00
01-11-2024 14:22:14, NONE, 0, 1, -0.197753906, 0, 999, 4.4, 3.204298, 0.00, 0.00, 0.00
01-11-2024 14:22:14, NONE, 0, 1, -0.197753906, 0, 999, 4.4, 3.229129, 0.00, 0.00, 0.00
01-11-2024 14:22:14, NONE, 0, 1, -0.197753906, 0, 999, 4.4, 3.258512, 0.00, 0.00, 0.00
01-11-2024 14:22:14, NONE, 0, 1, -0.197753906, 0, 999, 4.4, 3.286235, 0.00, 0.00, 0.00
01-11-2024 14:22:14, NONE, 0, 1, -0.197753906, 0, 999, 4.4, 3.323322, 0.00, 0.00, 0.00
01-11-2024 14:22:14, NONE, 0, 1, -0.197753906, 0, 999, 4.4, 3.37276, 0.00, 0.00, 0.00
01-11-2024 14:22:14, NONE, 0, 1, -0.197753906, 0, 999, 4.4, 3.400723, 0.00, 0.00, 0.00
01-11-2024 14:22:14, NONE, 0, 1, -0.197753906, 0, 999, 4.4, 3.400723, 0.00, 0.00, 0.00
01-11-2024 14:22:14, NONE, 0, 1, -0.197753906, 0, 999, 4.4, 3.41756, 0.00, 0.00, 0.00
01-11-2024 14:22:14, NONE, 0, 1, -0.197753906, 0, 999, 4.4, 3.442262, 0.00, 0.00, 0.00
01-11-2024 14:22:14, NONE, 0, 1, -0.197753906, 0, 999, 4.4, 3.442262, 0.00, 0.00, 0.00
01-11-2024 14:22:14, NONE, 0, 1, -0.197753906, 0, 999, 4.4, 3.461479, 0.00, 0.00, 0.00
01-11-2024 14:22:14, NONE, 0, 1, -0.197753906, 0, 999, 4.4, 3.461479, 0.00, 0.00, 0.00
01-11-2024 14:22:14, NONE, 0, 1, -0.197753906, 0, 999, 4.4, 3.483022, 0.00, 0.00, 0.00
01-11-2024 14:22:14, NONE, 0, 1, -0.197753906, 0, 999, 4.4, 3.483022, 0.00, 0.00, 0.00
01-11-2024 14:22:14, NONE, 0, 1, -0.197753906, 0, 999, 4.4, 3.503628, 0.00, 0.00, 0.00
01-11-2024 14:22:15, NONE, 0, 1, -0.197753906, 0, 999, 4.4, 3.527512, 0.00, 0.00, 0.00
01-11-2024 14:22:15, NONE, 0, 1, -0.197753906, 0, 999, 4.4, 3.527512, 0.00, 0.00, 0.00
01-11-2024 14:22:15, NONE, 0, 1, -0.197753906, 0, 999, 4.4, 3.550598, 0.00, 0.00, 0.00
01-11-2024 14:22:15, NONE, 0, 1, -0.197753906, 0, 999, 4.4, 3.550598, 0.00, 0.00, 0.00
01-11-2024 14:22:15, NONE, 0, 1, -0.197753906, 0, 999, 4.4, 3.569931, 0.00, 0.00, 0.00
01-11-2024 14:22:15, NONE, 0, 1, -0.197753906, 0, 999, 4.4, 3.626945, 0.00, 0.00, 0.00
01-11-2024 14:22:15, NONE, 0, 1, -0.197753906, 0, 999, 4.4, 3.656431, 1.00, 0.00, 0.00
01-11-2024 14:22:15, NONE, 0, 1, -0.197753906, 0, 999, 4.4, 3.683897, 0.00, 0.00, 0.00
01-11-2024 14:22:15, NONE, 0, 1, -0.197753906, 0, 999, 4.4, 3.714401, 0.00, 0.00, 0.00
01-11-2024 14:22:15, NONE, 0, 1, -0.197753906, 0, 999, 4.4, 3.714401, 0.00, 0.00, 0.00
01-11-2024 14:22:15, NONE, 0, 1, -0.197753906, 0, 999, 4.4, 3.734425, 0.00, 0.00, 0.00
01-11-2024 14:22:15, NONE, 0, 1, -0.197753906, 0, 999, 4.4, 3.756117, 0.00, 0.00, 0.00
01-11-2024 14:22:15, NONE, 0, 1, -0.197753906, 0, 999, 4.4, 3.756117, 0.00, 0.00, 0.00
01-11-2024 14:22:15, NONE, 0, 1, -0.197753906, 0, 999, 4.4, 3.776331, 0.00, 0.00, 0.00
01-11-2024 14:22:15, NONE, 0, 1, -0.197753906, 0, 999, 4.4, 3.811865, 0.00, 0.00, 0.00
01-11-2024 14:22:15, NONE, 0, 1, -0.197753906, 0, 999, 4.4, 3.811865, 0.00, 0.00, 0.00
01-11-2024 14:22:15, NONE, 0, 1, -0.197753906, 0, 999, 4.4, 3.811865, 0.00, 0.00, 0.00
01-11-2024 14:22:15, NONE, 0, 1, -0.197753906, 0, 999, 4.4, 3.811865, 0.00, 0.00, 0.00
01-11-2024 14:22:15, NONE, 0, 1, -0.197753906, 0, 999, 4.4, 3.811865, 0.00, 0.00, 0.00
01-11-2024 14:22:15, NONE, 0, 1, -0.197753906, 0, 999, 4.4, 3.811865, 0.00, 0.00, 0.00
01-11-2024 14:22:15, NONE, 0, 1, -0.197753906, 0, 999, 4.4, 3.811865, 0.00, 0.00, 0.00
01-11-2024 14:22:15, NONE, 0, 1, -0.197753906, 0, 999, 4.4, 3.811865, 0.00, 0.00, 0.00
01-11-2024 14:22:15, NONE, 0, 1, -0.197753906, 0, 999, 4.4, 3.811865, 0.00, 0.00, 0.00
01-11-2024 14:22:15, NONE, 0, 1, -0.197753906, 0, 999, 4.4, 3.791152, 0.00, 0.00, 0.00
01-11-2024 14:22:15, NONE, 0, 1, -0.197753906, 0, 999, 4.4, 3.791152, 0.00, 0.00, 0.00
01-11-2024 14:22:15, NONE, 0, 1, -0.197753906, 0, 999, 4.4, 3.769426, 3.00, 0.00, 0.00
01-11-2024 14:22:15, NONE, 0, 1, -0.197753906, 0, 999, 4.4, 3.769426, 3.00, 0.00, 0.00
01-11-2024 14:22:15, NONE, 0, 1, -0.197753906, 0, 999, 4.4, 3.769426, 0.00, 0.00, 0.00
01-11-2024 14:22:15, NONE, 0, 1, -0.197753906, 0, 999, 4.4, 3.769426, 0.00, 0.00, 0.00
01-11-2024 14:22:15, NONE, 0, 1, -0.197753906, 0, 999, 4.4, 3.769426, 0.00, 0.00, 0.00
01-11-2024 14:22:15, NONE, 0, 1, -0.197753906, 0, 999, 4.4, 3.769426, 0.00, 0.00, 0.00
01-11-2024 14:22:15, NONE, 0, 1, -0.197753906, 0, 999, 4.4, 3.769426, 0.00, 0.00, 0.00
